  1  1  1  1  1.000000000000E+00  0.000000000000E+00
  1  2  1  2  1.000000000000E+00  0.000000000000E+00
  1  3  1  3  1.000000000000E+00  0.000000000000E+00
  1  4  1  4  1.000000000000E+00  0.000000000000E+00
  1  5  1  5  1.000000000000E+00  0.000000000000E+00
  1  6  1  6  1.000000000000E+00  0.000000000000E+00
  1  7  1  7  1.000000000000E+00  0.000000000000E+00
  1  8  1  8  1.000000000000E+00  0.000000000000E+00
  1  9  1  9  1.000000000000E+00  0.000000000000E+00
  2  1  2  1  1.000000000000E+00  0.000000000000E+00
  2  2  2  2  1.000000000000E+00  0.000000000000E+00
  2  3  2  3  1.000000000000E+00  0.000000000000E+00
  2  4  2  4  1.000000000000E+00  0.000000000000E+00
  2  5  2  5  1.000000000000E+00  0.000000000000E+00
  2  6  2  6  1.000000000000E+00  0.000000000000E+00
  2  7  2  7  1.000000000000E+00  0.000000000000E+00
  2  8  2  8  1.000000000000E+00  0.000000000000E+00
  2  9  2  9  1.000000000000E+00  0.000000000000E+00
  3  1  3  1  1.000000000000E+00  0.000000000000E+00
  3  2  3  2  1.000000000000E+00  0.000000000000E+00
  3  3  3  3  1.000000000000E+00  0.000000000000E+00
  3  4  3  4  1.000000000000E+00  0.000000000000E+00
  3  5  3  5  1.000000000000E+00  0.000000000000E+00
  3  6  3  6  1.000000000000E+00  0.000000000000E+00
  3  7  3  7  1.000000000000E+00  0.000000000000E+00
  3  8  3  8  1.000000000000E+00  0.000000000000E+00
  3  9  3  9  1.000000000000E+00  0.000000000000E+00
  4  1  4  1  1.000000000000E+00  0.000000000000E+00
  4  2  4  2  1.000000000000E+00  0.000000000000E+00
  4  3  4  3  1.000000000000E+00  0.000000000000E+00
  4  4  4  4  1.000000000000E+00  0.000000000000E+00
  4  5  4  5  1.000000000000E+00  0.000000000000E+00
  4  6  4  6  1.000000000000E+00  0.000000000000E+00
  4  7  4  7  1.000000000000E+00  0.000000000000E+00
  4  8  4  8  1.000000000000E+00  0.000000000000E+00
  4  9  4  9  1.000000000000E+00  0.000000000000E+00
  5  1  5  1  1.000000000000E+00  0.000000000000E+00
  5  2  5  2  1.000000000000E+00  0.000000000000E+00
  5  3  5  3  1.000000000000E+00  0.000000000000E+00
  5  4  5  4  1.000000000000E+00  0.000000000000E+00
  5  5  5  5  1.000000000000E+00  0.000000000000E+00
  5  6  5  6  1.000000000000E+00  0.000000000000E+00
  5  7  5  7  1.000000000000E+00  0.000000000000E+00
  5  8  5  8  1.000000000000E+00  0.000000000000E+00
  5  9  5  9  1.000000000000E+00  0.000000000000E+00
  6  1  6  1  1.000000000000E+00  0.000000000000E+00
  6  2  6  2  1.000000000000E+00  0.000000000000E+00
  6  3  6  3  1.000000000000E+00  0.000000000000E+00
  6  4  6  4  1.000000000000E+00  0.000000000000E+00
  6  5  6  5  1.000000000000E+00  0.000000000000E+00
  6  6  6  6  1.000000000000E+00  0.000000000000E+00
  6  7  6  7  1.000000000000E+00  0.000000000000E+00
  6  8  6  8  1.000000000000E+00  0.000000000000E+00
  6  9  6  9  1.000000000000E+00  0.000000000000E+00
  7  1  7  1  1.000000000000E+00  0.000000000000E+00
  7  2  7  2  1.000000000000E+00  0.000000000000E+00
  7  3  7  3  1.000000000000E+00  0.000000000000E+00
  7  4  7  4  1.000000000000E+00  0.000000000000E+00
  7  5  7  5  1.000000000000E+00  0.000000000000E+00
  7  6  7  6  1.000000000000E+00  0.000000000000E+00
  7  7  7  7  1.000000000000E+00  0.000000000000E+00
  7  8  7  8  1.000000000000E+00  0.000000000000E+00
  7  9  7  9  1.000000000000E+00  0.000000000000E+00
  8  1  8  1  1.000000000000E+00  0.000000000000E+00
  8  2  8  2  1.000000000000E+00  0.000000000000E+00
  8  3  8  3  1.000000000000E+00  0.000000000000E+00
  8  4  8  4  1.000000000000E+00  0.000000000000E+00
  8  5  8  5  1.000000000000E+00  0.000000000000E+00
  8  6  8  6  1.000000000000E+00  0.000000000000E+00
  8  7  8  7  1.000000000000E+00  0.000000000000E+00
  8  8  8  8  1.000000000000E+00  0.000000000000E+00
  8  9  8  9  1.000000000000E+00  0.000000000000E+00
  9  1  9  1  1.000000000000E+00  0.000000000000E+00
  9  2  9  2  1.000000000000E+00  0.000000000000E+00
  9  3  9  3  1.000000000000E+00  0.000000000000E+00
  9  4  9  4  1.000000000000E+00  0.000000000000E+00
  9  5  9  5  1.000000000000E+00  0.000000000000E+00
  9  6  9  6  1.000000000000E+00  0.000000000000E+00
  9  7  9  7  1.000000000000E+00  0.000000000000E+00
  9  8  9  8  1.000000000000E+00  0.000000000000E+00
  9  9  9  9  1.000000000000E+00  0.000000000000E+00
